order_id,checkout_ts,store_id,category,zone_id,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,store_notify_ts,courier_notify_ts,courier_arrive_pos_ts,pickup_ts,deliver_ts
ord_006999,2026-07-13 10:51:00-03:00,store_068,pharmacy,zone_1,-34.646918216543206,-58.42294151016034,-34.61321414694121,-58.44986461002782,4.485,2026-07-13 10:54:14.360180346-03:00,2026-07-13 10:55:57.819728730-03:00,2026-07-13 11:07:54.623380290-03:00,2026-07-13 11:08:32.476119486-03:00,2026-07-13 11:26:59.571960696-03:00
ord_010848,2026-07-13 11:10:00-03:00,store_047,pharmacy,zone_0,-34.62116718960697,-58.46121185544741,-34.56895094672255,-58.44281427058955,6.045,2026-07-13 11:11:58.031775402-03:00,2026-07-13 11:12:50.013239436-03:00,2026-07-13 11:35:34.533652272-03:00,2026-07-13 11:37:55.342917180-03:00,2026-07-13 11:59:31.313260050-03:00
ord_005335,2026-07-13 12:29:00-03:00,store_056,grocery,zone_5,-34.60410842244617,-58.355387302278615,-34.635404717255646,-58.381347560020394,4.213,2026-07-13 12:30:21.787860852-03:00,2026-07-13 12:31:43.559840256-03:00,2026-07-13 12:45:29.792732598-03:00,2026-07-13 12:51:00.357646583-03:00,2026-07-13 13:16:34.513741019-03:00
ord_009191,2026-07-13 13:19:00-03:00,store_009,food,zone_4,-34.60496140621044,-58.41486417923656,-34.6146108441279,-58.428269297510724,1.63,2026-07-13 13:22:34.712597790-03:00,2026-07-13 13:24:33.436668810-03:00,2026-07-13 13:34:16.207037178-03:00,2026-07-13 14:19:58.672236522-03:00,2026-07-13 14:32:21.908986116-03:00
ord_002639,2026-07-13 14:25:00-03:00,store_071,grocery,zone_5,-34.60914713562754,-58.36349909966083,-34.638198045142744,-58.38997651844107,4.038,2026-07-13 14:29:56.514513720-03:00,2026-07-13 14:30:28.820866512-03:00,2026-07-13 14:59:31.769696016-03:00,2026-07-13 15:01:47.320994874-03:00,2026-07-13 15:21:48.687874308-03:00
ord_007352,2026-07-13 14:33:00-03:00,store_061,food,zone_4,-34.602890379385684,-58.41620809073391,-34.57715698133512,-58.434852376710424,3.332,2026-07-13 14:34:14.555117808-03:00,2026-07-13 14:35:35.380378104-03:00,2026-07-13 14:55:25.869523614-03:00,2026-07-13 14:58:38.300331480-03:00,2026-07-13 15:25:19.339203792-03:00
ord_002225,2026-07-13 14:37:00-03:00,store_001,food,zone_4,-34.60611215602479,-58.42716970801279,-34.57517862101552,-58.400867252528414,4.199,2026-07-13 14:39:31.889401818-03:00,2026-07-13 14:39:49.074290208-03:00,2026-07-13 15:04:27.475038636-03:00,2026-07-13 15:06:41.966811408-03:00,2026-07-13 15:30:45.479803236-03:00
ord_001024,2026-07-13 15:18:00-03:00,store_026,grocery,zone_4,-34.603327899627295,-58.421583004721306,-34.62158909863614,-58.438024115182714,2.527,2026-07-13 15:21:43.438215084-03:00,2026-07-13 15:24:59.643992202-03:00,2026-07-13 15:40:15.763631429-03:00,2026-07-13 15:41:32.826906983-03:00,2026-07-13 15:56:51.964947803-03:00
ord_001208,2026-07-13 15:51:00-03:00,store_012,food,zone_4,-34.58561348799193,-58.421999684175375,-34.56496983261375,-58.35116882384133,6.879,2026-07-13 15:54:34.834078914-03:00,2026-07-13 15:56:39.080472336-03:00,2026-07-13 16:18:54.318299232-03:00,2026-07-13 16:20:50.429941410-03:00,2026-07-13 16:53:09.260369028-03:00
ord_004958,2026-07-13 16:42:00-03:00,store_020,food,zone_8,-34.57419122599146,-58.361884510208014,-34.62025111665671,-58.479045585976,11.884,2026-07-13 16:42:30-03:00,2026-07-13 16:44:08.473152444-03:00,2026-07-13 17:16:37.319643846-03:00,2026-07-13 17:18:00.159883518-03:00,2026-07-13 18:05:10.658629956-03:00
